"Name","Target","first_year","last_year"
Charles Edward Grey,ESL,1860,1862
George Grey,ESL,1860,1871
Henry Rowland Ellison Grey,ESL,1861,1871
John Griffith,ESL,1848,1848
Richard Trygarn Griffith,ESL,1864,1866
J C Griffiths,ESL,1843,1849
Richard Clewin Griffiths,ESL,1844,1849
John Grover,ESL,1844,1847
Augustus Guest,ESL,1847,1847
William Vernon Guise,ESL,1869,1871
John Henry Gurney,ESL,1860,1867
Alexander Guthrie,ESL,1862,1862
James Guthrie,ESL,1862,1871
Johann Franz ('Julius') Haast,ESL,1870,1871
William Hall,ESL,1843,1850
Henry Hallam,ESL,1846,1852
Alexander C Hamilton,ESL,1869,1871
Archibald Hamilton,ESL,1863,1871
Rowland Hamilton,ESL,1853,1871
F W Harrer,ESL,1861,1861
William Cornwallis Harris,ESL,1844,1848
Charles (1) Harrison,ESL,1869,1871
William G S Harrison,ESL,1851,1853
John E Harvey,ESL,1863,1871
John Hastings,ESL,1844,1850
Walter Hawkins,ESL,1844,1860
John Hay,ESL,1861,1862
Ferdinand Vandeveer Hayden,ESL,1869,1871
R W Haynes,ESL,1861,1861
Peter Christian Heldman,ESL,1862,1862
Alexander Henderson,ESL,1854,1871
Robert Henderson,ESL,1863,1871
Joseph Henry,ESL,1869,1871
James Hepburn,ESL,1867,1869
Robert Hepburn,ESL,1855,1871
B Hewitt,ESL,1871,1871
Jonas B Hewitt,ESL,1869,1869
James Heywood,ESL,1844,1871
Arthur Hill,ESL,1844,1844
Frederick Hindmarsh,ESL,1844,1871
x Hitchman,ESL,1853,1853
Thomas (1) Hodgkin,ESL,1844,1862
Brian Houghton Hodgson,ESL,1854,1871
Kirkman Daniel Hodgson,ESL,1863,1871
"x Hoeven, Van der",ESL,1861,1868
J W Holgate,ESL,1843,1845
Robert Hollond,ESL,1862,1867
x Holmberg,ESL,1861,1861
H N Holme,ESL,1843,1845
Joseph Hooker,ESL,1868,1871
Frederick William Hope,ESL,1846,1851
W J S Horton,ESL,1864,1868
John Camden Hotten,ESL,1866,1871
Alfred How,ESL,1854,1854
Henry Hoyle Howorth,ESL,1866,1871
T A Hughes,ESL,1844,1844
Thomas McKenny Hughes,ESL,1869,1871
"Alexander Humboldt, Von",ESL,1853,1859
George S  Lennon Hunt,ESL,1862,1870
James Hunt,ESL,1856,1869
John (2) Hunt,ESL,1866,1871
William Wilson Hunter,ESL,1870,1871
Frank J Husband,ESL,1862,1862
H A Husband,ESL,1867,1868
Thomas Henry Huxley,ESL,1863,1871
William Imrie,ESL,1848,1867
Robert Ingham,ESL,1844,1862
John Inglis,ESL,1854,1871
Robert M Inman,ESL,1869,1871
Arthur Constantine Ionides,ESL,1844,1850
J  Clayfield Ireland,ESL,1860,1862
x Isenburg,ESL,1854,1871
Henry (the father) Jackson,ESL,1851,1866
x Jagor,ESL,1870,1870
F H Janson,ESL,1863,1870
John Moore Jeffcott,ESL,1869,1871
Edmund Jeffries,ESL,1864,1871
x Johore,ESL,1866,1871
James Jones,ESL,1862,1871
William Jones,ESL,1848,1852
William Arthur Jones,ESL,1869,1871
William Jordan,ESL,1861,1862
J  Beete Jukes,ESL,1846,1848
J Kaines,ESL,1844,1844
J W  (1) Kaye,ESL,1847,1847
Walter K Kelly,ESL,1844,1845
James (1) Kennedy,ESL,1853,1858
Richard Hartley Kennedy,ESL,1855,1868
James Kernahan,ESL,1868,1869
David King,ESL,1844,1866
Joseph Charles King,ESL,1843,1843
Richard King,ESL,1844,1871
S W King,ESL,1861,1863
Phillip Kingsford,ESL,1844,1851
Charles Kingsley,ESL,1856,1871
Andrew Valentine Kirwan,ESL,1843,1844
Richard Kirwan,ESL,1869,1871
J L Knapp,ESL,1854,1871
William Knight,ESL,1848,1848
Robert Knox,ESL,1843,1845
Samuel Harley Kough,ESL,1855,1855
Samuel Laing,ESL,1863,1871
Jones Lamprey,ESL,1869,1869
Augustus Henry Lane Fox later Pitt Rivers,ESL,1861,1871
Andrew Lang,ESL,1861,1871
J Langlands,ESL,1867,1871
R Langlands,ESL,1867,1867
Robert Gordon Latham,ESL,1844,1853
Joseph Law,ESL,1852,1852
Edward Lawford,ESL,1857,1871
John Lawrence,ESL,1856,1856
Henry N Lay,ESL,1863,1867
Austen Henry Layard,ESL,1853,1871
x Layland,ESL,1869,1869
John Edward Lee,ESL,1870,1871
J G S Lefevre,ESL,1843,1848
x Lefroy,ESL,1870,1870
Joseph Leidy,ESL,1869,1871
Arthur Charles Wriothesley Lennox,ESL,1866,1871
Richard Lepsius,ESL,1854,1871
Karl Georg Friedrich Rudolf Leuckart,ESL,1861,1871
Malcolm Lewin,ESL,1850,1869
James Lewis,ESL,1855,1855
x Library of the Corporation of London,ESL,1866,1866
Joseph Lister,ESL,1844,1847
W J Little,ESL,1844,1844
Edmund Lloyd,ESL,1861,1861
Francis Lloyd,ESL,1844,1850
William Horton Lloyd,ESL,1844,1847
William Lockhart,ESL,1861,1871
Abraham Logan,ESL,1863,1871
J R Logan,ESL,1848,1869
x Londesborough,ESL,1854,1857
William Long,ESL,1869,1871
Horatio Love,ESL,1850,1871
x Lovewell,ESL,1845,1845
John Lubbock,ESL,1863,1871
Johann Constantin August Lucae,ESL,1861,1871
J W Lukis,ESL,1870,1871
John Gray Macfarlane,ESL,1865,1871
G Macgowan,ESL,1861,1871
K Mackenzie,ESL,1856,1856
Samuel Joseph Mackie,ESL,1861,1864
Lauchlan Mackinnon,ESL,1862,1862
Daniel Mackintosh,ESL,1861,1868
J Mackrell,ESL,1850,1862
Samuel Maclean,ESL,1854,1856
George Macleay,ESL,1869,1869
Andrew Maclure,ESL,1866,1871
Charles James Major,ESL,1844,1844
Charles Malcolm,ESL,1844,1851
William Elphinstone Malcolm,ESL,1844,1871
Alfred Mallalieu,ESL,1844,1844
Robert James Mann,ESL,1866,1871
Clements Robert Markham,ESL,1864,1871
Matthew Henry Marsh,ESL,1862,1871
Peter Marshall,ESL,1844,1844
William Marshall,ESL,1866,1867
Edward Martin,ESL,1844,1844
Richard Biddulph Martin,ESL,1868,1871
Thomas Martin,ESL,1844,1844
James Wood Mason,ESL,1869,1871
Edward V Maur,ESL,1861,1861
Alfred Maury,ESL,1861,1871
George Maw,ESL,1865,1868
Peter Benson Maxwell,ESL,1867,1871
Thomas May,ESL,1844,1844
Joseph Mayer,ESL,1854,1871
William Frederick Mayers,ESL,1864,1871
John S Mayson,ESL,1856,1864
James McClelland,ESL,1854,1870
John Ferguson McLennan,ESL,1870,1871
John Frederick McNair,ESL,1866,1871
H McNicholl,ESL,1854,1854
Thomas Taylor Meadows,ESL,1854,1868
James Aitken Meigs,ESL,1861,1871
Edward Meryon,ESL,1844,1844
Samuel Rush Meyrick,ESL,1843,1843
William Augustus Miles,ESL,1851,1871
Joseph Milligan,ESL,1861,1871
Henri Milne-Edwards,ESL,1853,1871
x Milton,ESL,1864,1871
Albert Mitchell,ESL,1868,1871
Alexander (1) Mitchell,ESL,1858,1871
Matthew Moggridge,ESL,1869,1871
J Monro,ESL,1854,1854
Patrick Montgomery,ESL,1864,1867
Robert Mortimer Montgomery,ESL,1863,1868
John Moody,ESL,1868,1871
Joseph Moore,ESL,1844,1856
Alexander Morison,ESL,1844,1855
Edward Morris,ESL,1869,1869
Edward Rowley Morris,ESL,1870,1871
Eugene Morris,ESL,1869,1871
John Morris,ESL,1869,1871
Richard Morris,ESL,1869,1869
Walter Morrison,ESL,1870,1871
J Muir,ESL,1865,1869
Friedrich Max Muller,ESL,1865,1871
Johan Muller,ESL,1853,1858
x Munro,ESL,1843,1857
Francis Kerridge Munton,ESL,1870,1871
Roderick Impey Murchison,ESL,1860,1871
John Murray,ESL,1861,1870
G N Mussabini,ESL,1851,1851
N G Mussabini,ESL,1844,1844
Dadabhai Naoroji,ESL,1866,1867
William Napier,ESL,1861,1871
William Donald Napier,ESL,1863,1868
Davyd William Nash,ESL,1848,1871
Robert Lucas Nash,ESL,1870,1871
Alexander Nasmyth,ESL,1844,1846
Dominico Navoni,ESL,1844,1844
J  Dormer Neale,ESL,1868,1871
Francis G P Neison,ESL,1844,1853
William Neison,ESL,1845,1852
Robert Stirling (1) Newall,ESL,1870,1871
F W Newman,ESL,1843,1846
Thomas Nicholas,ESL,1869,1869
Brinsley Nicholson,ESL,1855,1871
Charles Nicholson,ESL,1858,1865
D Nicol,ESL,1862,1862
J  Dyce Nicol,ESL,1862,1871
Donald Nicoll,ESL,1868,1868
Giustiniano Nicolucci,ESL,1862,1871
Sven Nilsson,ESL,1860,1871
Josiah Clark Nott,ESL,1861,1871
