"Name","birth_year","death_year","religion_name","ceda_name","person_ceda_first_year","person_ceda_last_year"
Robert Horne,NA,NA,Quaker,APS,1860,1867
John Horniman,NA,NA,Quaker,APS,1860,1867
Charles Horsnaill,NA,NA,Quaker,APS,1860,1866
W C Horsnaill,NA,NA,Quaker,APS,1860,1861
Sarah Hotham,NA,NA,Quaker,APS,1860,1866
Luke Howard,NA,NA,Quaker,APS,1851,1852
William Howitt,NA,NA,Quaker,APS,1839,1851
Rachel Hubbert,NA,NA,Quaker,APS,1866,1866
Joseph Hudson,NA,NA,Quaker,APS,1861,1861
John Huntley,NA,NA,Quaker,APS,1864,1866
Joseph Huntley,NA,NA,Quaker,APS,1860,1867
Martha Hutchinson,NA,NA,Quaker,APS,1839,1840
R Impey,NA,NA,Quaker,APS,1861,1863
Edward James,NA,NA,Quaker,APS,1860,1867
A Janson,NA,NA,Quaker,APS,1861,1861
